case_id,module,title,priority,test_type,endpoint,method,preconditions,request,expected_http_status,expected_business_result,redis_assertions,mysql_assertions,risk_tags,source_rules,schema_valid,business_valid,validation_errors,business_review_status,review_comment
AI-DETAIL-002,shop_detail_voucher,商详接口查询不存在商铺，返回成功响应和空列表,P1,positive,/shop/detail/{shopId},GET,"[""RULE-VOUCHER-UNKNOWN-SHOP""]","{""path_params"": {""shopId"": 999999}, ""query_params"": {}, ""headers"": {}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data包含shopId、shopName、tags、vouchers，且vouchers为空""]}",[],[],"[""未知商铺""]","[""RULE-VOUCHER-UNKNOWN-SHOP""]",True,True,[],pending,
AI-DETAIL-003,shop_detail_voucher,商详接口查询已存在商铺，路径参数传入非数字字符串返回400错误,P1,negative,/shop/detail/{shopId},GET,"[""RULE-PATH-LONG-INVALID""]","{""path_params"": {""shopId"": ""abc""}, ""query_params"": {}, ""headers"": {}, ""body"": null}",400,"{""success"": false, ""error_contains"": null, ""data_assertions"": []}",[],[],"[""路径参数非法""]","[""RULE-PATH-LONG-INVALID""]",True,True,[],pending,
AI-DETAIL-004,shop_detail_voucher,商详接口查询已存在商铺，返回包含评分聚合数据,P1,positive,/shop/detail/{shopId},GET,"[""RULE-DETAIL-PUBLIC"", ""RULE-DETAIL-AGGREGATE""]","{""path_params"": {""shopId"": 1}, ""query_params"": {}, ""headers"": {}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data包含shopId、shopName、tags、vouchers、blogs、reviews、recommendations、relatedShops""]}",[],[],"[""评分聚合""]","[""RULE-DETAIL-PUBLIC"", ""RULE-DETAIL-AGGREGATE""]",True,True,[],pending,
AI-DETAIL-005,shop_detail_voucher,商详接口查询已存在商铺，评分刷新RocketMQ发送失败时仍返回成功响应,P1,negative,/shop/detail/{shopId},GET,"[""RULE-RATING-MQ-DEGRADE""]","{""path_params"": {""shopId"": 1}, ""query_params"": {}, ""headers"": {}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data包含shopId、shopName、tags、vouchers""]}",[],[],"[""评分刷新失败""]","[""RULE-RATING-MQ-DEGRADE"", ""RULE-RATING-CACHE-INVALIDATE""]",True,True,[],pending,
AI-SECKILL-001,seckill_plus,未登录用户尝试秒杀,P1,negative,/voucher-order/seckill-plus/{voucherId},POST,"[""前置条件1""]","{""path_params"": {""voucherId"": 12}, ""query_params"": {}, ""headers"": {}, ""body"": null}",401,"{""success"": false, ""error_contains"": ""Unauthorized"", ""data_assertions"": []}",[],[],"[""未登录场景""]","[""RULE-AUTH-UNAUTHORIZED""]",True,True,[],pending,
AI-SECKILL-002,seckill_plus,无效的voucherId秒杀,P1,negative,/voucher-order/seckill-plus/{voucherId},POST,"[""前置条件2""]","{""path_params"": {""voucherId"": ""abc""}, ""query_params"": {}, ""headers"": {""authorization"": ""<VALID_TOKEN>""}, ""body"": null}",400,"{""success"": false, ""error_contains"": ""Invalid voucherId"", ""data_assertions"": []}",[],[],"[""无效参数""]","[""RULE-PATH-LONG-INVALID""]",True,True,[],pending,
AI-SECKILL-003,seckill_plus,秒杀库存未初始化,P1,negative,/voucher-order/seckill-plus/{voucherId},POST,"[""前置条件3""]","{""path_params"": {""voucherId"": 12}, ""query_params"": {}, ""headers"": {""authorization"": ""<VALID_TOKEN>""}, ""body"": null}",200,"{""success"": true, ""error_contains"": ""秒杀库存未初始化"", ""data_assertions"": [""响应data断言""]}","[{""key_pattern"": ""seckill:stock:{voucherId}"", ""assertion"": ""exists"", ""expected"": false}]",[],"[""秒杀未初始化""]","[""RULE-SECKILL-STOCK-NOT-INITIALIZED""]",True,True,[],pending,
AI-SECKILL-004,seckill_plus,正常秒杀成功,P1,positive,/voucher-order/seckill-plus/{voucherId},POST,"[""前置条件4""]","{""path_params"": {""voucherId"": 12}, ""query_params"": {}, ""headers"": {""authorization"": ""<VALID_TOKEN>""}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}","[{""key_pattern"": ""seckill:stock:{voucherId}"", ""assertion"": ""exists"", ""expected"": true}, {""key_pattern"": ""seckill:stock:{voucherId}"", ""assertion"": ""get"", ""expected"": 1}]","[{""table"": ""tb_seckill_voucher"", ""assertion"": ""decrement"", ""expected"": -1}, {""table"": ""tb_voucher_order"", ""assertion"": ""increment"", ""expected"": 1}]","[""秒杀成功""]","[""RULE-SECKILL-SUCCESS""]",True,True,[],pending,
AI-SECKILL-005,seckill_plus,重复下单,P1,negative,/voucher-order/seckill-plus/{voucherId},POST,"[""前置条件5""]","{""path_params"": {""voucherId"": 12}, ""query_params"": {}, ""headers"": {""authorization"": ""<VALID_TOKEN>""}, ""body"": null}",200,"{""success"": false, ""error_contains"": ""不能重复下单"", ""data_assertions"": []}","[{""key_pattern"": ""seckill:stock:{voucherId}"", ""assertion"": ""exists"", ""expected"": 0}, {""key_pattern"": ""seckill:order:{voucherId}"", ""assertion"": ""exists"", ""expected"": true}, {""key_pattern"": ""seckill:stock:{voucherId}"", ""assertion"": ""库存保持不变"", ""expected"": ""与请求前一致""}]","[{""table"": ""tb_seckill_voucher"", ""assertion"": ""库存保持不变"", ""expected"": ""与请求前一致""}, {""table"": ""tb_voucher_order"", ""assertion"": ""订单数保持不变且不新增订单"", ""expected"": ""与请求前一致""}]","[""重复下单""]","[""RULE-SECKILL-DUPLICATE""]",True,True,[],pending,
AI-CACHE-001,cache_async,验证缓存重建逻辑,P1,positive,/shop/{shopId},GET,"[""存在未知的商铺ID""]","{""path_params"": {""shopId"": ""999999""}, ""query_params"": {}, ""headers"": {}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}","[{""key_pattern"": ""cache:shop:{999999}"", ""assertion"": ""exists"", ""expected"": false}, {""key_pattern"": ""lock:shop:{999999}"", ""assertion"": ""exists"", ""expected"": true}]","[{""table"": ""tb_shop"", ""assertion"": ""exists"", ""expected"": true}]","[""缓存重建""]","[""RULE-SHOP-CACHE-REBUILD""]",True,True,[],pending,
AI-CACHE-002,cache_async,验证评分刷新逻辑,P1,positive,/shop/detail/{shopId},GET,"[""存在商铺ID为1的商铺""]","{""path_params"": {""shopId"": ""1""}, ""query_params"": {}, ""headers"": {""authorization"": ""<VALID_TOKEN>""}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}","[{""key_pattern"": ""cache:shop:{1}"", ""assertion"": ""exists"", ""expected"": false}, {""key_pattern"": ""lock:shop:{1}"", ""assertion"": ""exists"", ""expected"": true}]","[{""table"": ""tb_shop"", ""assertion"": ""exists"", ""expected"": true}]","[""评分刷新""]","[""RULE-RATING-MQ-DEGRADE"", ""RULE-RATING-CACHE-INVALIDATE""]",True,True,[],pending,
AI-CACHE-003,cache_async,验证缓存重建逻辑（并发场景）,P1,concurrency,/shop/{shopId},GET,"[""存在商铺ID为1的商铺""]","{""path_params"": {""shopId"": ""1""}, ""query_params"": {}, ""headers"": {""authorization"": ""<VALID_TOKEN>""}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}","[{""key_pattern"": ""cache:shop:{1}"", ""assertion"": ""exists"", ""expected"": false}, {""key_pattern"": ""lock:shop:{1}"", ""assertion"": ""exists"", ""expected"": true}]","[{""table"": ""tb_shop"", ""assertion"": ""exists"", ""expected"": true}]","[""缓存重建""]","[""RULE-SHOP-CACHE-REBUILD""]",True,True,[],pending,
AI-CONCURRENCY-001,concurrency_consistency,20个用户并发抢库存5时严格成功5、失败15，库存不为负,P1,concurrency,/voucher-order/seckill-plus/{voucherId},POST,"[""前置条件1""]","{""path_params"": {""voucherId"": 13}, ""query_params"": {}, ""headers"": {""authorization"": ""<VALID_TOKEN>""}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}","[{""key_pattern"": ""seckill:stock:{voucherId}"", ""assertion"": ""exists"", ""expected"": 0}, {""key_pattern"": ""seckill:order:{voucherId}"", ""assertion"": ""length"", ""expected"": 5}, {""key_pattern"": ""seckill:stock:{voucherId}"", ""assertion"": ""最终库存等于0且不为负"", ""expected"": 0}]","[{""table"": ""tb_voucher_order"", ""assertion"": ""count"", ""expected"": 5}, {""table"": ""tb_seckill_voucher"", ""assertion"": ""最终库存等于0且不为负"", ""expected"": 0}, {""table"": ""tb_voucher_order"", ""assertion"": ""订单数等于5且不超过初始库存5"", ""expected"": 5}]","[""并发风险""]","[""RULE-SECKILL-NO-OVERSALE""]",True,True,[],pending,
AI-CONCURRENCY-002,concurrency_consistency,等待RocketMQ落库后Redis库存、MySQL库存、订单数和用户数一致,P1,consistency,/voucher-order/seckill-plus/{voucherId},POST,"[""前置条件2""]","{""path_params"": {""voucherId"": 13}, ""query_params"": {}, ""headers"": {""authorization"": ""<VALID_TOKEN>""}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}","[{""key_pattern"": ""seckill:stock:{voucherId}"", ""assertion"": ""exists"", ""expected"": 0}, {""key_pattern"": ""seckill:order:{voucherId}"", ""assertion"": ""length"", ""expected"": 5}, {""key_pattern"": ""seckill:stock:{voucherId}"", ""assertion"": ""最终库存等于0且不为负"", ""expected"": 0}]","[{""table"": ""tb_voucher_order"", ""assertion"": ""count"", ""expected"": 5}, {""table"": ""tb_seckill_voucher"", ""assertion"": ""最终库存等于0且不为负"", ""expected"": 0}, {""table"": ""tb_voucher_order"", ""assertion"": ""订单数等于5且不超过初始库存5"", ""expected"": 5}]","[""一致性风险""]","[""RULE-SECKILL-NO-OVERSALE""]",True,True,[],pending,
